localidad,sin estrato,estrato 1,estrato 2,estrato 3,estrato 4,estrato 5,estrato 6,
usaquen,12.92,5.33,12.79,22.87,14.80,13.49,17.81,
chapinero,12.92,9.09,12.57,5.17,18.54,11.59,30.12,
santa fe,12.91,8.10,55.44,18.73,4.81,0.00,0.00,
san cristobal,12.30,7.23,71.29,9.18,0.00,0.00,0.00,
usme,16.36,52.11,31.52,0.00,0.00,0.00,0.00,
tunjuelito,9.09,0.35,63.75,32.70,0.00,0.00,0.00,
bosa,8.11,9.87,80.46,1.56,0.00,0.00,0.00,
kennedy,11.23,1.31,48.95,37.76,0.76,0.00,0.00,
fontibon,21.76,0.12,15.79,44.35,17.15,0.83,0.00,
engativa,13.81,0.82,24.63,57.50,3.24,0.00,0.00,
suba,10.24,0.58,44.36,22.77,9.15,10.39,2.51,
barrios unidos,11.78,0.00,0.00,64.26,21.85,2.11,0.00,
teusaquillo,14.72,0.00,0.00,13.35,67.06,4.87,0.00,
los martires,13.50,0.00,7.30,78.65,0.55,0.00,0.00,
antonio nariño,11.88,0.00,4.46,83.66,0.00,0.00,0.00,
puente aranda,22.25,0.00,0.43,77.33,0.00,0.00,0.00,
la candelaria,31.25,1.56,43.23,23.96,0.00,0.00,0.00,
rafael uribe,11.82,14.92,42.68,30.57,0.00,0.00,0.00,
ciudad bolivar,12.25,65.34,20.55,1.87,0.00,0.00,0.00,
